system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
01-01,,,,0.58295,,,,0.3146777777777778,,,0.1949416666666666,0.1921625,0.2138166666666666,,0.4710999999999999,0.62802,,0.8101307692307692,,0.4992714285714286,,,0.2361,,,,0.58295,,,,0.3146777777777778,,,0.1949416666666666,0.1921625,0.2138166666666666,,0.4710999999999999,0.62802,,0.8101307692307692,,0.4992714285714286,,,0.2361,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,0.4692333333333333,,,,,,,,,,,,,,,,,,,,,,,0.4692333333333333,,,,,0.2620847222222222,,,,,0.6385028571428571,,,,0.5781357142857143,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,0.3690444444444444,,,,,,,,0.3292277777777778,,,,,0.6489857142857143,0.3424,,0.43732,0.657,,,,,,0.3690444444444444,0.535925,,,,0.3212833333333333,,,0.3292277777777778,,,,0.55875,0.6489857142857143,0.3424,0.758098717948718,0.43732,0.657,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,0.4870888888888889,0.4704375,,0.5149153846153847,,,0.3278888888888889,0.5320714285714285,,0.2271166666666666,,,0.7158277777777777,,,,0.7060666666666666,,0.7231777777777778,,0.5037666666666667,,,0.4870888888888889,0.4704375,0.6052916666666668,0.5149153846153847,0.4692333333333333,,0.3278888888888889,0.5320714285714285,,0.2271166666666666,,0.4202907407407407,0.7158277777777777,0.55875,,0.5731346153846154,0.7060666666666666,,0.7231777777777778,,0.5037666666666667,0.3812111111111111,,,,,,,,,,,,,,,,,,,,,,,
01-05,,0.8182375000000001,,0.4889,,0.4552,,,0.595825,,,,,,0.6464,,0.8038692307692308,,,,,,,,0.8182375000000001,,0.4889,,0.4552,,,0.595825,,0.3292277777777778,0.14186125,0.5235277777777778,,0.6464,0.5888554497354497,0.8038692307692308,,,0.6933022222222223,,,0.3812111111111111,,,,,,,,,,,,,,,,,,,,,,,
01-06,,0.89695,,,,,,,0.83088,,,,0.4761,,,,0.29185,,,0.6634266666666667,0.6056111111111111,,,,0.89695,0.4687631944444445,0.67125,,0.5635,,,0.83088,,0.35265291005291,0.1171058611111111,0.4761,0.7510527777777778,0.55875,0.5800998677248677,0.29185,0.6665916666666667,0.5727933333333333,0.6634266666666667,0.6056111111111111,0.6062000000000001,0.3971273611111111,,,,,,,,,,,,,,,,,,,,,,,
01-07,,0.8111,,,,0.6718,,,0.3586214285714286,,,,0.5709555555555555,,,,,,,,,,0.5263222222222222,,0.8111,0.4687631944444444,0.7474333333333334,,0.6718,,0.369562037037037,0.3586214285714286,,0.4515288359788359,0.1226454732905982,0.5709555555555555,0.720199,0.4774125,0.6122361111111111,,0.6271166666666667,0.5727933333333333,0.748566111111111,0.4704166666666666,0.6084243055555556,0.5263222222222222,,,,,,,,,,,,,,,,,,,,,,,
01-08,,0.7265888888888888,0.4670888888888889,0.8536,,,0.5132888888888889,,0.8299833333333333,,,,0.663,0.7862777777777777,,0.4790777777777777,,,,0.8337055555555555,0.3352222222222222,0.7086333333333333,0.4274,,0.7265888888888888,0.4670888888888889,0.8536,0.5149153846153847,0.6718,0.5132888888888889,0.4112351851851852,0.8299833333333333,,0.4532111111111111,0.139414577084952,0.663,0.7862777777777777,0.5924379629629629,0.4790777777777777,0.6229623321123322,0.5481666666666667,0.5072994444444444,0.8337055555555555,0.3352222222222222,0.7086333333333333,0.4274,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,0.5303777777777777,,0.7948722222222222,,0.5016142857142857,0.09156,,0.7107111111111111,,,,,0.7082666666666666,0.4334666666666666,,,0.2355277777777777,,0.5643,,0.7474333333333334,0.6429727207977208,0.7576,0.5303777777777777,0.481650462962963,0.7948722222222222,,0.5016142857142857,0.09156,0.663,0.7107111111111111,0.5924379629629629,0.6122361111111111,0.7862307692307693,0.5577074074074074,0.7082666666666666,0.4334666666666666,0.4649777777777777,0.6128729166666667,0.2355277777777777,,,,,,,,,,,,,,,,,,,,,,,
01-10,,0.4020111111111111,,0.6412666666666667,,0.7576,,,,0.448125,0.6258555555555555,0.06804,,,0.308425,,,0.5481666666666667,0.6930055555555555,,0.5947333333333333,,,,0.4020111111111111,0.4486017361111111,0.6412666666666667,0.7604,0.7576,0.5303777777777777,0.480525,0.7963888888888889,0.448125,0.6258555555555555,0.06804,0.7326666666666667,0.6371255555555555,0.308425,0.6968933333333334,0.7770209401709403,0.5481666666666667,0.6930055555555555,0.6693076666666666,0.5947333333333333,0.6150972222222222,0.4901827777777777,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,0.7604,,,,,0.7862777777777777,,0.0919055555555555,0.7326666666666667,0.56354,0.8224888888888888,0.7453944444444445,,,0.4788,,,,,,0.6703444444444444,0.4467197916666666,0.7474333333333334,0.7604,0.7622888888888889,0.7850222222222222,0.4809581228956229,0.7963888888888889,0.7862777777777777,0.5395333333333333,0.0919055555555555,0.7326666666666667,0.56354,0.8224888888888888,0.7453944444444445,0.707710805860806,0.4659041666666667,0.4788,0.5880888888888889,,0.6150972222222223,0.4990638888888888,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,0.4709222222222222,0.7669777777777778,0.8089999999999999,,,0.8272666666666667,0.4532111111111111,,0.79146,,0.9455571428571428,0.6968933333333334,,,0.2664,,,0.5215611111111111,,,0.6298555555555555,0.4670888888888889,0.7445259259259259,0.4709222222222222,0.7669777777777778,0.8089999999999999,0.5104867138047138,0.7979444444444445,0.8272666666666667,0.4532111111111111,0.1281850854700854,0.79146,0.43457,0.9455571428571428,0.6968933333333334,0.7678111111111111,0.4659041666666667,0.2664,0.6091501388888889,,0.5215611111111111,0.6009618888888888,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,0.8104055555555556,,0.7850222222222222,0.5845333333333333,,,,,,0.3056,0.3041,,0.7862307692307693,0.3836416666666666,,0.7427111111111111,,,0.7626,,0.5643,0.4105388888888889,0.7701652777777778,0.8104055555555556,0.5988333333333333,0.7850222222222222,0.5845333333333333,0.7956305555555556,0.7128777777777777,0.5016142857142857,0.1906747507122506,0.7357362345679012,0.3056,0.3041,0.7085066666666666,0.7862307692307693,0.3836416666666666,0.3290166666666666,0.7427111111111111,0.553937037037037,0.5942297979797981,0.7626,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,0.4306888888888889,,,0.7643111111111112,0.5984888888888888,,,,0.35788,,0.72012,,,0.3916333333333333,,,,0.71594,,0.6703444444444444,0.4670888888888889,0.7701652777777778,0.7862777777777777,0.4306888888888889,0.7364083333333333,0.5325291666666667,0.7643111111111112,0.5984888888888888,0.4963814814814815,0.0919055555555555,0.7551722222222222,0.35788,0.7341352063492063,0.72012,0.7770209401709403,0.6078083333333333,0.3916333333333333,0.6328666666666667,0.553937037037037,0.5864510101010102,0.71594,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,0.8448777777777777,,,,0.480525,0.83465,,,,,0.3958399999999999,,,,,,,,,0.7916777777777778,,0.6221579365079365,0.4966195308641976,0.8448777777777777,0.7983416666666667,0.5988333333333333,0.7364083333333333,0.480525,0.83465,,0.5870592592592593,0.2975143162393162,0.7733161111111111,0.3958399999999999,0.6342099999999999,0.72012,0.7678111111111111,0.6078083333333333,0.4931905218855218,0.6486173611111111,0.591674074074074,0.5654037037037037,0.7916777777777778,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,0.7862777777777777,,,,0.75351,,,,,0.3491333333333333,,,0.7678111111111111,0.831975,,0.5230222222222223,,,0.8483666666666667,,0.6411666666666667,0.5198585432098766,0.8243513888888889,0.7862777777777777,0.6335425,0.7606494444444445,0.4577124999999999,0.75351,0.7376802579365079,0.5417296296296297,0.2975143162393162,0.7551722222222222,0.3491333333333333,0.6452646666666666,0.7696388888888889,0.7678111111111111,0.831975,0.5058396632996632,0.5230222222222223,0.5781888888888889,0.5524305555555556,0.8483666666666667,,,,,,,,,,,,,,,,,,,,,,,
01-17,,0.6703444444444444,,0.803825,,0.720825,,0.4349,,,0.4964,,,,0.96432,0.7696388888888889,0.2805888888888889,,,,,,0.5720666666666666,,0.6703444444444444,0.5161333333333333,0.803825,0.7357388888888889,0.720825,0.7364083333333333,0.4349,0.7963888888888889,0.7128777777777777,0.4964,0.3530614159125188,0.6902856944444447,0.4629843137254902,0.96432,0.7696388888888889,0.2805888888888889,0.7265867521367522,0.4556966666666666,0.6486173611111111,0.5667202982202982,0.5654037037037037,0.5720666666666666,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,0.3539888888888889,0.6218166666666667,,,,0.7294777777777778,,,0.8115666666666667,0.5031230769230769,0.7551722222222222,0.5768352941176471,,,,,,0.7742125,,,,,0.7207388888888888,0.3539888888888889,0.6218166666666667,0.7357388888888889,0.6335425,0.6967073611111111,0.7294777777777778,0.7935680952380952,0.6971951388888888,0.8115666666666667,0.5031230769230769,0.7551722222222222,0.5768352941176471,0.7626711111111111,0.7779194444444444,0.6906594444444445,0.7265867521367522,0.4556966666666666,0.7742125,0.5586950456950457,0.5654037037037037,0.6860555555555555,,,,,,,,,,,,,,,,,,,,,,,
01-19,,0.7711333333333333,,0.8241999999999999,0.6852,0.54626,,,,,0.80365,,,,0.5610222222222222,0.7862,,,,,0.6021,,,,0.7711333333333333,0.5161333333333333,0.8241999999999999,0.6852,0.54626,0.6877944444444445,0.6527033888888888,0.8022916666666666,0.6853346230158729,0.80365,0.4401133693648399,0.6571661111111111,0.5768352941176471,0.5610222222222222,0.7862,0.7406888888888888,0.7906477207977209,0.5443385185185184,0.7742125,0.6021,0.6501295454545454,0.6290611111111111,,,,,,,,,,,,,,,,,,,,,,,
01-20,,0.5562333333333334,,,,,,,,,,,0.55916,,,0.481725,,,,,,,0.6860555555555555,,0.5562333333333334,0.5161333333333333,0.8019,0.748875,0.6696248333333333,0.6877944444444445,0.7294777777777778,0.8022916666666666,0.6971951388888888,0.8139381944444444,0.4401133693648399,0.55916,0.6194898692810457,,0.481725,0.6135077777777778,0.7906477207977209,0.5949422222222222,0.7742125,0.5781888888888889,0.6745709595959596,0.6860555555555555,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,0.6877944444444445,,,0.8287777777777777,,,0.4756666666666667,,,,,0.7399769230769231,,0.7849555555555555,,0.5206333333333333,,,0.6411666666666667,0.5932368888888889,0.8130499999999999,0.7821428571428571,0.6645855555555555,0.6877944444444445,0.7719416666666666,0.7609152521008402,0.8287777777777777,0.8163097222222221,0.5197027149321267,0.4756666666666667,0.6977426470588235,,0.7738444444444444,0.5106388888888889,0.7399769230769231,0.5478228170594837,0.7849555555555555,0.5542777777777778,0.5206333333333333,0.7178499999999999,,,,,,,,,,,,,,,,,,,,,,,
01-22,,0.7261,0.6782777777777778,0.8019,0.81255,,,,,,,,,,,,,,,0.4359,,,,,0.7261,0.6782777777777778,0.8019,0.81255,0.7030252777777778,0.6283638888888889,0.7719416666666666,0.7609152521008402,0.6971951388888888,0.81868125,0.5197027149321267,0.6573674074074075,0.7712155555555557,0.7626711111111111,0.6277847222222223,0.5896129999999999,0.7999912393162394,0.56630544332211,0.4359,0.5542777777777778,0.6540166666666667,0.7580444444444444,,,,,,,,,,,,,,,,,,,,,,,
01-23,,,0.67624,,0.7821428571428571,0.7829111111111111,,,0.8022916666666666,,,,,0.81865,,0.7738444444444444,,0.8600055555555556,0.64644,,,0.7874,,,0.7210300000000001,0.67624,0.8109685185185184,0.7821428571428571,0.7829111111111111,0.6459479166666666,0.8041227777777777,0.8022916666666666,0.6971951388888888,0.8086904166666666,0.4561714067370538,0.6434833333333334,0.81865,0.7626711111111111,0.7738444444444444,0.6135077777777778,0.8600055555555556,0.64644,0.5515601851851852,0.5303666666666667,0.7874,0.7580444444444444,,,,,,,,,,,,,,,,,,,,,,,
01-24,,,0.7415444444444445,,,0.8183444444444444,0.5689333333333333,0.8144055555555555,0.80341,0.5656125,0.8337125,,,,,,,,,,,0.8423611111111111,0.8300333333333333,,0.8025833333333333,0.7415444444444445,0.8109685185185184,0.7688992063492064,0.8183444444444444,0.5689333333333333,0.8144055555555555,0.80341,0.5656125,0.8337125,0.5114128959276019,0.6434833333333334,0.7762361111111112,0.7626711111111111,0.7352822222222222,0.6754594444444444,0.7627916666666668,0.5949422222222222,0.5515601851851852,0.542241798941799,0.8423611111111111,0.8300333333333333,,,,,,,,,,,,,,,,,,,,,,,
01-25,,,0.6876555555555556,,0.7556555555555555,,,,0.6536117647058823,,,,,,,,0.7406888888888888,0.6655777777777778,,,0.5064555555555555,,,,0.80495,0.6876555555555556,0.7755962962962962,0.7556555555555555,0.7999506944444444,0.6459479166666666,0.8041227777777777,0.6536117647058823,0.7059251388888889,0.8047895833333335,0.5197027149321267,0.6434833333333334,0.7762361111111111,0.7630355873015873,0.7352822222222222,0.7406888888888888,0.6655777777777778,0.5949422222222223,0.4200416666666666,0.5064555555555555,0.7874,0.7281844444444443,,,,,,,,,,,,,,,,,,,,,,,
01-26,,0.8790666666666667,,,0.7445166666666666,,0.7229625,,0.709,,,0.5362823529411764,,,,0.69672,,,,,,,,,0.8790666666666667,,0.79265,0.7445166666666666,0.8056305555555556,0.7229625,0.8041227777777777,0.709,0.7117451388888889,0.8047895833333334,0.5362823529411764,0.7273916666666667,0.7712155555555557,0.7626711111111111,0.69672,0.6754594444444444,0.7399769230769231,0.5949422222222222,0.4348625,0.5064555555555555,0.7894111111111112,0.7580444444444444,,,,,,,,,,,,,,,,,,,,,,,
01-27,,,,0.8179555555555555,,,0.8152388888888888,,,,,0.2956222222222222,0.8113,0.7338222222222223,,,,,0.5434444444444444,0.433825,,,,,0.8096833333333332,,0.8179555555555555,0.7755459523809524,0.80299,0.8152388888888888,0.8041227777777777,0.6629722222222222,0.7481565277777777,0.8086904166666666,0.2956222222222222,0.8113,0.7338222222222223,0.7725,0.7502825589225589,0.7406888888888888,0.6924794444444445,0.5434444444444444,0.433825,0.5024277777777778,0.7904166666666667,0.7182111111111111,,,,,,,,,,,,,,,,,,,,,,,
01-28,,,,0.7069333333333333,,0.7929166666666667,,,0.6169444444444444,0.8578777777777777,0.7758666666666667,0.4261266666666666,,0.832825,,,0.61023,,,0.3903999999999999,,,,,0.8120499999999999,,0.7069333333333333,0.7843916666666666,0.7929166666666667,0.76267875,0.8144055555555555,0.6169444444444444,0.8578777777777777,0.7758666666666667,0.4261266666666666,0.6923795370370371,0.832825,0.7733318518518518,0.7502825589225589,0.61023,0.6924794444444445,0.6090324691358026,0.3903999999999999,0.5439339947089947,0.8361173611111111,0.7209877777777778,,,,,,,,,,,,,,,,,,,,,,,
01-29,,,,0.1925888888888889,,,,,,,,0.5298125,,0.6945444444444444,,,0.7602,,,,,0.7384722222222222,,,0.81205,,0.1925888888888889,0.7684520940170941,0.7969916666666668,0.8148277777777777,0.7946925000000001,0.6984203703703704,0.8211416666666667,0.8176666666666668,0.5298125,0.7273916666666667,0.6945444444444444,0.7733318518518518,0.761164579124579,0.7602,0.6132,0.5949422222222223,0.4455361111111111,0.5439339947089947,0.7384722222222222,0.7227525,,,,,,,,,,,,,,,,,,,,,,,
01-30,,0.7450333333333333,,0.79265,0.8242666666666667,0.8010666666666667,,0.79384,,0.7844055555555556,,0.6905444444444444,,,,,0.8299388888888889,,,,0.4984,,0.6063888888888889,,0.7450333333333333,,0.79265,0.8242666666666667,0.8010666666666667,0.8230488888888889,0.79384,0.6984203703703704,0.7844055555555556,0.8114166666666667,0.6905444444444444,0.7670734126984128,0.7557666666666667,0.7949861111111111,0.761164579124579,0.8299388888888889,0.6758522222222222,0.5997055555555555,0.4572472222222222,0.4984,0.8361173611111111,0.6063888888888889,,,,,,,,,,,,,,,,,,,,,,,
01-31,,,,0.6800888888888889,0.7402777777777778,,0.8144166666666667,0.8162,,,0.8594666666666667,,,0.8169888888888889,,0.8188454545454545,0.8416666666666667,,,,,,,,,,0.6800888888888889,0.7402777777777778,0.7844833333333334,0.8144166666666667,0.8162,0.7408444444444444,0.7929258547008546,0.8594666666666667,0.6279291666666666,0.7670734126984128,0.8169888888888889,0.7866374999999999,0.8188454545454545,0.8416666666666667,0.6758522222222222,0.6559666666666667,0.4689583333333332,0.6269464285714286,0.8361173611111111,0.7209877777777778,,,,,,,,,,,,,,,,,,,,,,,
02-01,,,,0.8228333333333333,,0.7679,0.8566333333333334,0.8593055555555555,,0.8014461538461538,,,,,,,,,,,,,0.8355866666666667,,,,0.8228333333333333,0.7488076923076923,0.7679,0.8566333333333334,0.8593055555555555,0.7651444444444444,0.8014461538461538,0.8114166666666667,0.7279022222222222,0.8113,0.7958266666666667,,0.7679282828282827,0.8299388888888889,0.6924794444444445,0.6651177777777778,0.5475166666666667,0.7554928571428572,0.8658699999999999,0.8355866666666667,,,,,,,,,,,,,,,,,,,,,,,
02-02,,,,0.86535,,0.28484,0.8141277777777778,0.7182000000000001,0.8153444444444444,,0.7633666666666666,,,,,0.717011111111111,,0.5608222222222222,0.6559666666666667,0.5475166666666667,0.7554928571428572,0.9337625,0.59178,,,,0.86535,0.744542735042735,0.28484,0.8141277777777778,0.7182000000000001,0.8153444444444444,0.8073110636277303,0.7633666666666666,0.750402,0.8113,0.8064077777777778,,0.717011111111111,0.7323111111111111,0.5608222222222222,0.6559666666666667,0.5475166666666667,0.7554928571428572,0.9337625,0.59178,,,,,,,,,,,,,,,,,,,,,,,
