system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,,,,,,,,,,,,0.708975,0.5502333333333334,,,,0.8152722222222222,,,,,,,,,,,,,,,,,,0.708975,0.5502333333333334,,,,0.8152722222222222,,,
01-02,,,,,0.7150799999999999,,,,0.6200666666666667,,,,,,,0.6715444444444444,0.8123125,,,0.8041222222222222,,,,,,,,0.7150799999999999,,,,0.6200666666666667,,,,,,0.5798486111111111,0.6715444444444444,0.8123125,,,0.8041222222222222,,,
01-03,,0.717525,,,0.6402777777777778,,,0.7256333333333334,0.7558666666666667,,,,,0.6696,0.4507222222222222,0.779,,0.8002333333333334,,0.7789,,,,,0.717525,,,0.6402777777777778,,,0.7256333333333334,0.7558666666666667,,,,,0.6696,0.4507222222222222,0.779,0.66712625,0.8002333333333334,,0.7789,,,
01-04,,,,,,,0.2770333333333333,0.5668222222222222,0.6548,,,,,0.5714444444444444,,0.8237,0.5219400000000001,,0.7739111111111111,0.4150111111111111,,,0.73493,,0.7061513888888888,,,0.6215838888888889,,0.2770333333333333,0.5668222222222222,0.6548,,,,,0.5714444444444444,0.7058911111111111,0.8237,0.5219400000000001,,0.7739111111111111,0.4150111111111111,,,0.73493
01-05,,0.6947777777777777,,,0.60289,,,,0.7248111111111111,,,,0.398075,,0.96106,,0.8069999999999999,,0.6096874999999999,0.2654555555555555,0.4147222222222222,,0.6429499999999999,,0.6947777777777777,,,0.60289,,0.25928888888888885,,0.7248111111111111,,,,0.398075,0.6155833333333334,0.96106,0.8237,0.8069999999999999,,0.6096874999999999,0.2654555555555555,0.4147222222222222,,0.6429499999999999
01-06,,,,,,0.8002666666666667,0.2415444444444444,,0.4612833333333333,,,,0.7877222222222222,0.6597222222222222,,,,,,0.3944611111111111,0.6147055555555555,,0.6781777777777778,,0.7001333333333333,,,0.7070227777777778,0.8002666666666667,0.2415444444444444,0.6525666666666667,0.4612833333333333,,,,0.7877222222222222,0.6597222222222222,0.7517966666666667,0.8237,0.7991944444444444,,0.7111333333333334,0.3944611111111111,0.6147055555555555,,0.6781777777777778
01-07,,0.7054888888888889,,,0.8111555555555555,0.6121888888888889,,,0.4683777777777778,,,,,,0.5425333333333333,0.8408222222222222,,,,0.82468,0.5407624999999999,,,,0.7054888888888889,,,0.8111555555555555,0.6121888888888889,0.25928888888888885,0.6850280555555557,0.4683777777777778,,,,0.7864638888888889,0.6495166666666667,0.5425333333333333,0.8408222222222222,0.8030972222222221,0.8002333333333334,0.7111333333333334,0.82468,0.5407624999999999,,0.659038888888889
01-08,,,,,,,,0.7383111111111111,0.8022416666666666,,,,0.7852055555555556,0.6393111111111112,,,0.7991944444444444,,0.7111333333333334,0.835825,0.6424466666666667,,0.6399,,0.6947777777777777,,,0.8962715277777777,0.6927416666666666,0.7921916666666666,0.7383111111111111,0.8022416666666666,,,,0.7852055555555556,0.6393111111111112,0.5210861111111111,0.7056111111111112,0.7991944444444444,0.8018748148148148,0.7111333333333334,0.835825,0.6424466666666667,,0.6399
01-09,,,,,0.9813875,0.7732944444444444,0.8085555555555556,,0.7155888888888889,,,,0.84582,0.7242333333333333,0.4996388888888889,0.5704,,,,,0.7338166666666667,,0.6123411764705883,,0.6303740740740741,,,0.9813875,0.7732944444444444,0.8085555555555556,0.7499508333333333,0.7155888888888889,,,,0.84582,0.7242333333333333,0.4996388888888889,0.5704,0.7991944444444444,0.8002333333333334,0.7827833333333334,0.82468,0.7338166666666667,,0.6123411764705883
01-10,,,,,,,,,,0.6564055555555556,,,,,,0.7875823529411765,,0.8175333333333333,0.8544333333333333,,0.8186888888888889,0.7779944444444444,,,0.6034891534391534,,,0.8962715277777777,0.6208083333333333,0.7921916666666666,0.7824122222222223,0.6453025555555556,0.6564055555555556,,,0.8131266666666667,0.7315916666666666,0.6677111111111111,0.7875823529411765,0.799886111111111,0.8175333333333333,0.8544333333333333,0.6498625,0.8186888888888889,0.7779944444444444,0.5506080882352942
01-11,,,0.66186,,,0.4683222222222222,0.7758277777777778,,,,,,0.7804333333333333,0.73895,0.8357833333333333,0.8237222222222222,,,,0.4639,0.6026888888888888,0.8171764705882353,0.488875,,0.6303740740740741,0.66186,,0.7989666666666666,0.4683222222222222,0.7758277777777778,0.7618223333333335,0.6519644444444445,,,,0.7804333333333333,0.73895,0.8357833333333333,0.8237222222222222,0.7982805555555555,0.7918888888888889,0.7827833333333334,0.4639,0.6026888888888888,0.8171764705882353,0.488875
01-12,,0.4855,,,0.7362722222222222,0.8362571428571428,0.5451888888888888,0.8265133333333333,,,,,0.82762,,,0.68965,,,,,0.6838055555555556,0.5040142857142857,,,0.4855,,,0.7362722222222222,0.8362571428571428,0.5451888888888888,0.8265133333333333,0.7009206666666667,0.7243333333333333,,,0.82762,0.7376353174603174,0.7798777777777778,0.68965,0.7991944444444444,0.7918888888888889,0.8136249999999999,0.658891,0.6838055555555556,0.5040142857142857,0.6212875
01-13,,,,,0.7989666666666666,,0.7633444444444444,0.75925,0.58834,0.7922611111111111,,,0.73718,,,0.8457166666666667,0.7973666666666667,,0.5305888888888889,,0.6434166666666666,,0.7537,,0.6194785714285714,0.6906077777777777,,0.7989666666666666,0.6358333333333334,0.7633444444444444,0.75925,0.58834,0.7922611111111111,,,0.73718,0.7376353174603174,0.7798777777777778,0.8457166666666667,0.7973666666666667,0.8094711111111111,0.5305888888888889,0.6066374999999999,0.6434166666666666,0.5059333333333333,0.7537
01-14,,0.7534571428571428,,,,,,,,,,0.024375,,,,0.7900555555555555,,0.7662444444444445,0.8136249999999999,,0.6948444444444445,,,,0.7534571428571428,0.6514782777777778,,0.8158088888888889,0.6358333333333334,0.74351,0.702625,0.71235,0.7833787037037037,,0.024375,0.7786114285714285,0.73895,0.8192222222222222,0.7900555555555555,0.8108297949735451,0.7662444444444445,0.8136249999999999,0.700655625,0.6948444444444445,0.5049738095238095,0.75005
01-15,,,0.7193555555555555,,,0.6358333333333334,,0.646,0.83636,,,,0.8200428571428572,,,0.7450055555555556,,0.8336555555555556,0.8185944444444444,0.7493749999999999,0.7395272727272727,0.5059333333333333,0.7464,,0.732320238095238,0.7193555555555555,,0.8259203703703704,0.6358333333333334,0.7988444444444445,0.646,0.83636,0.7744962962962963,,,0.8200428571428572,0.7952055555555556,0.8192222222222222,0.7450055555555556,0.7995402777777777,0.8336555555555556,0.8185944444444444,0.7493749999999999,0.7395272727272727,0.5059333333333333,0.7464
01-16,,0.7111833333333334,0.4839555555555556,,,0.51145,,,0.8090388888888889,,,,0.8062411764705882,,0.8361388888888889,,,0.8380333333333333,0.8483909090909091,0.8512666666666667,0.7230777777777778,,0.7599166666666667,,0.7111833333333334,0.4839555555555556,,0.8158088888888889,0.51145,0.8175444444444444,0.7101500000000001,0.8090388888888889,0.8020185185185186,,,0.8062411764705882,0.7874261904761904,0.8361388888888889,0.7450055555555556,0.8131180555555555,0.8380333333333333,0.8483909090909091,0.8512666666666667,0.7230777777777778,0.5092884208683474,0.7599166666666667
01-17,,0.7300833333333333,0.7016125,,,0.7385666666666667,0.8343444444444444,0.7743,,,,,0.5818176470588236,,,,,0.8238666666666666,,,0.6584611111111112,,0.6540222222222222,,0.7300833333333333,0.7016125,,0.7989666666666666,0.7385666666666667,0.8343444444444444,0.7743,0.7833561666666665,0.8068944444444445,,0.0955875,0.5818176470588236,0.7952055555555556,0.7857444444444444,0.6692583333333333,0.8263499999999999,0.8238666666666666,0.7163454545454545,0.8320989583333334,0.6584611111111112,0.5049738095238095,0.6540222222222222
01-18,,,0.7533222222222222,0.8321076923076923,0.9425222222222224,,,0.80942,,0.8068944444444445,,,,0.7952055555555556,0.73535,0.5935111111111111,,0.8714222222222222,0.5842999999999999,0.81293125,0.7143888888888889,,,,0.6015972222222222,0.7533222222222222,0.8321076923076923,0.9425222222222224,0.6995469135802469,0.8568444444444445,0.80942,0.7893569444444444,0.8068944444444445,,0.1275944444444444,0.6426333333333333,0.7952055555555556,0.73535,0.5935111111111111,0.839401984126984,0.8714222222222222,0.5842999999999999,0.81293125,0.7143888888888889,0.45614166666666667,0.7530536363636363
