system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,0.5636888888888889,,,,,,,,,0.5565888888888889,,,,,0.0990666666666666,,,,,,,,,0.5636888888888889,,,,,,,,,0.5565888888888889,,,,,0.0990666666666666,,,
01-11,,,0.7305777777777778,,,,0.5209333333333334,,,,,0.5086666666666667,,0.4838777777777778,,0.5209666666666667,,,,,0.4225,0.5186111111111111,,,,0.7305777777777778,,,0.52675,0.5209333333333334,,,,,0.5086666666666667,,0.4838777777777778,0.5167777777777778,0.5209666666666667,,,,0.34391666666666665,0.4225,0.5186111111111111,
01-12,,,,0.5650111111111111,,0.4898111111111111,,0.5193888888888889,0.5573111111111111,,,,0.3894666666666667,0.5153555555555556,0.4769666666666667,,,,0.5203444444444445,0.5887666666666667,,,,,,,0.5650111111111111,,0.4898111111111111,0.5167222222222223,0.5193888888888889,0.5573111111111111,,,,0.3894666666666667,0.5153555555555556,0.4769666666666667,,,,0.5203444444444445,0.5887666666666667,0.35591111111111107,0.5416722222222222,
