system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,0.8971222222222223,,0.8347277777777777,,,0.80675,0.7982777777777778,0.86015,0.8866066666666667,0.6149444444444444,0.89845,0.7507833333333334,,0.8226555555555556,,,0.92,,,0.8280555555555555,,,,0.8971222222222223,,0.8347277777777777,,,0.80675,0.7982777777777778,0.86015,0.8866066666666667,0.6149444444444444,0.89845,0.7507833333333334,,0.8226555555555556,,,0.92,,,0.8280555555555555
01-02,,0.6623285714285715,0.7862750000000001,,,,,,,,,,0.7358444444444444,0.8601111111111112,,0.8362,0.8646888888888888,0.8263222222222222,0.3731611111111111,0.9527,,0.8710444444444444,,,0.6623285714285715,0.7862750000000001,,,0.7493055555555556,,,,0.8189,,0.7011345833333333,0.7358444444444444,0.8601111111111112,0.7220916666666667,0.8362,0.8646888888888888,0.8263222222222222,0.3731611111111111,0.9527,,0.8710444444444444,
01-03,,,0.3325666666666667,,0.839488888888889,0.6638833333333334,,,,0.8395222222222223,,0.5156625,,,0.6934,0.8424555555555555,,0.523164705882353,,0.7353999999999999,,0.8554555555555555,,,,0.3325666666666667,,0.839488888888889,0.6638833333333334,,,,0.8395222222222223,0.7399194444444444,0.5156625,0.7945055555555556,0.8452222222222223,0.6934,0.8424555555555555,,0.523164705882353,0.5878027777777778,0.7353999999999999,,0.8554555555555555,
01-04,,,0.41715,,0.88629,,0.7451,0.8490666666666666,,,,,0.8531666666666666,0.8303333333333334,0.9951,0.8292875,,,0.8024444444444444,,0.7534000000000001,,,,0.7344087301587302,0.41715,0.6389974747474747,0.88629,0.6787962962962965,0.7451,0.8490666666666666,,0.6861111111111111,0.7672961111111111,0.64417325,0.8531666666666666,0.8303333333333334,0.9951,0.8292875,0.8725944444444445,,0.8024444444444444,0.8051222222222222,0.7534000000000001,0.8710444444444444,0.8292981481481482
01-05,,,,,,,,,,0.5327000000000001,0.6196888888888888,,0.8531777777777778,0.8619444444444444,,,,,0.8267777777777778,0.8748444444444444,,,,,0.7798281269841271,0.439125,0.6389974747474747,,0.6638833333333334,,,0.48207999999999995,0.5327000000000001,0.6196888888888888,0.544375,0.8531777777777778,0.8619444444444444,0.7372777777777778,0.8373354166666667,0.8725944444444445,0.6354323529411765,0.8267777777777778,0.8748444444444444,,0.8756555555555555,0.8122638888888889
01-06,,0.8064888888888889,0.4611,,,0.6232,,,,,0.7774777777777778,,0.8582666666666666,0.7151777777777778,,0.8453833333333334,0.8805000000000001,,,,,0.8958555555555555,0.8633666666666666,,0.8064888888888889,0.4611,0.6687829966329966,0.888745,0.6232,,,0.547749537037037,0.475575,0.7774777777777778,0.5443749999999999,0.8582666666666666,0.7151777777777778,0.7372777777777778,0.8453833333333334,0.8805000000000001,0.7477,0.7955777777777778,0.8029597222222221,0.8378,0.8958555555555555,0.8633666666666666
01-07,,,,0.3808727272727272,,0.8249833333333334,,,,0.41845,0.8392444444444445,0.5730875,0.6364,,,,,0.7477,,,0.8590666666666666,,,,0.8341344444444445,0.4408141156462585,0.3808727272727272,0.8875175,0.8249833333333334,0.7630611111111111,0.8491638888888888,0.547749537037037,0.41845,0.8392444444444445,0.5730875,0.6364,0.7509388888888888,0.8723444444444445,0.8320987037037036,0.8725944444444445,0.7477,0.8082666666666668,0.8576333333333334,0.8590666666666666,0.9126777777777777,0.7964722222222222
01-08,,0.86178,,0.8738722222222222,0.8912,,,,0.4787333333333333,,,,,0.7867,,,,,,0.7289125,0.8378,,,,0.86178,0.4611,0.8738722222222222,0.8912,0.7636616666666667,0.7810222222222222,0.8492611111111111,0.4787333333333333,0.6236028535353536,0.7942925925925927,0.6288964722222223,0.7660694444444445,0.7867,0.7961924603174603,0.8373354166666667,0.7971166666666667,0.7583722222222222,0.7955777777777778,0.7289125,0.8378,0.9126777777777777,0.7867074074074075
01-09,,,,,,0.70234,,,,,,,0.8957388888888889,0.8254722222222223,0.5233333333333333,,,0.7690444444444444,,0.8576333333333334,0.6398666666666667,0.9295,0.7295777777777778,,0.7424196296296297,0.4785857142857143,0.621725,0.8711074999999999,0.70234,0.8017256944444444,0.8181900908119657,0.48207999999999995,0.5902638888888889,0.7661555555555556,0.5730875,0.8957388888888889,0.8254722222222223,0.5233333333333333,0.8346825925925927,0.8805000000000001,0.7690444444444444,0.7389892857142858,0.8576333333333334,0.6398666666666667,0.9295,0.7295777777777778
01-10,,,,,,0.8390625,0.7810222222222222,0.8492611111111111,,,0.7661555555555556,,0.8822277777777778,0.8402944444444445,0.8723444444444445,,,,0.7955777777777778,0.8726333333333334,0.70415,,,,0.6965622222222223,0.4873285714285714,0.6769518518518517,0.85347,0.8390625,0.7810222222222222,0.8492611111111111,0.5514272222222222,0.5558133333333334,0.7661555555555556,0.7095987500000001,0.8822277777777778,0.8402944444444445,0.8723444444444445,0.8346825925925927,0.8670553571428571,0.6678555555555555,0.7955777777777778,0.8726333333333334,0.70415,0.9295,0.7671777777777777
