system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,0.5684222222222222,,0.6662111111111111,,0.5658333333333333,0.4975,0.5198,,0.522,0.3822777777777777,0.5465888888888889,0.4790999999999999,,0.5305333333333333,0.5083222222222222,0.3624428571428571,,,,0.5153666666666666,,,,0.5684222222222222,,0.6662111111111111,,0.5658333333333333,0.4975,0.5198,,0.522,0.3822777777777777,0.5465888888888889,0.4790999999999999,,0.5305333333333333,0.5083222222222222,0.3624428571428571,,,,0.5153666666666666
01-02,,0.5414666666666667,0.511,0.4343666666666667,,0.3290333333333333,0.3842555555555556,,,0.5034333333333334,,0.4017333333333333,0.5281,0.5255277777777778,0.5854555555555556,0.5874666666666667,0.5938777777777777,0.5292333333333333,,,0.3702833333333333,0.5711888888888889,0.5756,,0.5414666666666667,0.511,0.4343666666666667,,0.3290333333333333,0.3842555555555556,0.5377696078431373,,0.5034333333333334,,0.4017333333333333,0.5281,0.5255277777777778,0.5854555555555556,0.5874666666666667,0.5938777777777777,0.5292333333333333,0.4780714285714286,,0.3702833333333333,0.5711888888888889,0.5756
01-03,,0.5306666666666666,,,0.5275,0.440025,0.2628777777777777,0.5097058823529412,,0.6404444444444445,0.5085333333333334,,,,0.58489,0.5889,,,0.5937,0.5390777777777778,0.4549555555555555,0.554,,,0.5306666666666666,0.45469444444444446,0.44279999999999997,0.5275,0.440025,0.2628777777777777,0.5097058823529412,0.46031666666666665,0.6404444444444445,0.5085333333333334,0.44451666666666667,0.5297222222222222,0.4097472222222222,0.58489,0.5889,0.5890416666666667,0.4952416666666667,0.5937,0.5390777777777778,0.4549555555555555,0.554,0.5756
01-04,,,0.3983888888888889,0.4512333333333333,,0.4216666666666667,0.4670555555555555,,,,,0.4873,0.5313444444444445,0.2939666666666666,0.5112066666666667,0.7193555555555555,0.5842055555555555,0.46125,0.5384666666666666,,0.5822875,,,,0.5414666666666667,0.3983888888888889,0.4512333333333333,0.47307222222222217,0.4216666666666667,0.4670555555555555,,0.46031666666666665,0.5369055555555555,0.5473666666666667,0.4873,0.5313444444444445,0.2939666666666666,0.5112066666666667,0.7193555555555555,0.5842055555555555,0.46125,0.5384666666666666,0.6345388888888889,0.5822875,0.5711888888888889,0.6733361111111111
01-05,,,,0.5532,0.4186444444444444,0.5481555555555555,,,0.4231333333333333,0.4333666666666667,0.5861999999999999,0.8266833333333333,1.0161,0.88925,0.4482545454545454,0.6907444444444444,0.4913666666666667,,0.6411333333333333,0.73,,,0.7710722222222223,,0.8282125,,0.5532,0.4186444444444444,0.5481555555555555,0.4502805555555556,,0.4231333333333333,0.4333666666666667,0.5861999999999999,0.8266833333333333,1.0161,0.88925,0.4482545454545454,0.6907444444444444,0.4913666666666667,0.474075,0.6411333333333333,0.73,0.5822875,0.5694444444444444,0.7710722222222223
01-06,,0.854825,,,,,0.4335055555555556,,,,0.9127666666666666,0.4546,0.9240888888888888,0.8669888888888889,,0.5483,0.3713777777777777,0.4869,,0.6245,,0.5848888888888889,,,0.854825,,0.54747,0.6304638888888889,0.68495,0.4335055555555556,0.5377696078431373,0.5338027777777777,0.5369055555555555,0.9127666666666666,0.4546,0.9240888888888888,0.8669888888888889,0.5854555555555556,0.5483,0.3713777777777777,0.4869,,0.6245,0.8472333333333333,0.5848888888888889,0.7105988888888889
01-07,,,,0.54174,0.8422833333333334,0.8217444444444444,0.4611,,,,0.5086,,,0.8568666666666667,,0.6132125,0.9274666666666668,0.7879444444444444,,0.57035,0.8591555555555556,,,,0.8282125,0.5880955555555556,0.54174,0.8422833333333334,0.8217444444444444,0.4611,0.8470222222222222,0.6014961111111111,0.50715,0.5086,0.4546,1.0128374999999998,0.8568666666666667,0.6166815151515151,0.6132125,0.9274666666666668,0.7879444444444444,0.61612,0.57035,0.8591555555555556,0.7733166666666667,0.7680194444444445
01-08,,0.8016,,,0.8237,,,,,0.5809333333333333,0.7314222222222222,,,0.8397444444444444,,,,,,0.8384444444444444,0.8472333333333333,,,,0.8016,0.6582611111111112,0.54174,0.8237,0.7832222222222223,0.6691444444444444,0.7586830065359477,0.46031666666666665,0.5809333333333333,0.7314222222222222,0.3760083333333333,0.9240888888888888,0.8397444444444444,0.7123848484848484,0.6767526388888889,0.7769,0.7837111111111111,0.61612,0.8384444444444444,0.8472333333333333,0.7733166666666667,0.7369872222222222
01-09,,,,,,0.7447,0.8771888888888889,,,,,0.2974166666666666,1.0128374999999998,0.8525111111111111,,,,0.7794777777777778,,,0.86696,0.9617444444444444,0.7649666666666667,,,0.5863433333333334,0.54174,0.749,0.7447,0.8771888888888889,0.8323666666666667,0.9012333333333332,0.5880139384920634,0.784561111111111,0.2974166666666666,1.0128374999999998,0.8525111111111111,0.70605,0.7149062500000001,0.7769,0.7794777777777778,0.6494777777777778,0.8745222222222222,0.86696,0.9617444444444444,0.7649666666666667
01-10,,,,0.5150666666666667,0.6743,0.8458666666666667,0.858688888888889,0.8898722222222222,,,0.8377,,0.9190722222222222,0.8620888888888889,0.8905833333333333,,0.7769,0.7727111111111111,,0.9106,0.7187666666666667,,0.8375777777777778,,0.7617783950617283,0.6250222222222223,0.5150666666666667,0.6743,0.8458666666666667,0.858688888888889,0.8898722222222222,0.7672555952380952,0.5950945436507935,0.8377,0.4546,0.9190722222222222,0.8620888888888889,0.8905833333333333,0.7565215277777778,0.7769,0.7727111111111111,0.6836161437908497,0.9106,0.7187666666666667,0.7625154320987655,0.8375777777777778
